id,edges,name,type,clusteringCoefficient,betweennessCentrality,distanceToFurthestNode,degree
m4154756,{},Avengers: Infinity War,movie,,,,
m4465564,{},Fifty Shades Darker,movie,,,,
m0238924,{},The Dangerous Lives of Altar Boys,movie,,,,
m0112835,{},Death in Small Doses,movie,,,,
m3834906,{},Bigfoot: The Curse of Blood Mountain,movie,,,,
m3489184,{},Constantine,movie,,,,
m0118762,{},Boys Life 2,movie,,,,
m3844980,{},The Rabbi's Toast,movie,,,,
m5917168,{},As in Kevin,movie,,,,
m1666823,{},Legs,movie,,,,
m3827684,{},The Hollow,movie,,,,
m2734804,{},Reckless,movie,,,,
m1833296,{},Clunkers,movie,,,,
m0377057,{},Elvis Has Left the Building,movie,,,,
m0463910,{},Big Dog,movie,,,,
m1291566,{},Sidney Hall,movie,,,,
m5972196,{},Mother of the Year,movie,,,,
m2088932,{},The Light in the Night,movie,,,,
m3532216,{},American Made,movie,,,,
